=== RÉSUMÉ EXÉCUTIF ===
Fichier analysé,example_workflow.yml
Date d'analyse,27/05/2025 à 16:17:11
Score de sécurité,0/100 (CRITIQUE)
Niveau de risque,CRITIQUE
Total anomalies,53

=== RÉPARTITION PAR SÉVÉRITÉ ===
HIGH,23
CRITICAL,21
MEDIUM,9

=== TOP 5 CATÉGORIES PROBLÉMATIQUES ===
Outils Réseau Suspects,7
URLs Suspectes,7
Cryptominage,7
Secrets et Credentials,6
Commandes Système Dangereuses,5

=== DÉTAIL DES ANOMALIES ===
ID,Sévérité,Job,Step,Type,Catégorie,Détail,Recommandation,CWE,CVE,Références
1,🟠 ÉLEVÉ,dangerous_system_commands,Dangerous file operations,Commande suspecte détectée,Commandes Système Dangereuses,Pattern dangerous_commands trouvé dans la commande,"Éviter les commandes système dangereuses, utiliser des alternatives sécurisées",CWE-78,N/A,N/A
2,🟠 ÉLEVÉ,dangerous_system_commands,Dangerous file operations,Commande suspecte détectée,Commandes Système Dangereuses,Pattern dangerous_commands trouvé dans la commande,"Éviter les commandes système dangereuses, utiliser des alternatives sécurisées",CWE-78,N/A,N/A
3,🟠 ÉLEVÉ,dangerous_system_commands,Dangerous file operations,Commande suspecte détectée,Commandes Système Dangereuses,Pattern dangerous_commands trouvé dans la commande,"Éviter les commandes système dangereuses, utiliser des alternatives sécurisées",CWE-78,N/A,N/A
4,🟠 ÉLEVÉ,dangerous_system_commands,System service manipulation,Commande suspecte détectée,Commandes Système Dangereuses,Pattern dangerous_commands trouvé dans la commande,"Éviter les commandes système dangereuses, utiliser des alternatives sécurisées",CWE-78,N/A,N/A
5,🟠 ÉLEVÉ,dangerous_system_commands,System service manipulation,Commande suspecte détectée,Commandes Système Dangereuses,Pattern dangerous_commands trouvé dans la commande,"Éviter les commandes système dangereuses, utiliser des alternatives sécurisées",CWE-78,N/A,N/A
6,🟠 ÉLEVÉ,network_and_exfiltration,Network reconnaissance,Commande suspecte détectée,Outils Réseau Suspects,Pattern network_tools trouvé dans la commande,"Éviter les outils réseau non essentiels, utiliser des alternatives sécurisées",CWE-200,N/A,N/A
7,🟠 ÉLEVÉ,network_and_exfiltration,Network reconnaissance,Commande suspecte détectée,Outils Réseau Suspects,Pattern network_tools trouvé dans la commande,"Éviter les outils réseau non essentiels, utiliser des alternatives sécurisées",CWE-200,N/A,N/A
8,🔴 CRITIQUE,network_and_exfiltration,Data exfiltration attempt,Commande suspecte détectée,Exfiltration de Données,Pattern data_exfiltration trouvé dans la commande,"CRITIQUE: Examiner ces commandes, possibles tentatives d'exfiltration de données",CWE-200,N/A,N/A
9,🔴 CRITIQUE,network_and_exfiltration,Data exfiltration attempt,Commande suspecte détectée,Exfiltration de Données,Pattern data_exfiltration trouvé dans la commande,"CRITIQUE: Examiner ces commandes, possibles tentatives d'exfiltration de données",CWE-200,N/A,N/A
10,🔴 CRITIQUE,network_and_exfiltration,Data exfiltration attempt,Commande suspecte détectée,Exfiltration de Données,Pattern data_exfiltration trouvé dans la commande,"CRITIQUE: Examiner ces commandes, possibles tentatives d'exfiltration de données",CWE-200,N/A,N/A
